job_title,job_url,job_id,employer,rating,location,salary,posting_age,scraped_at,posting_date_estimated,posting_date_precision
Senior Software Engineer - Python,"https://www.glassdoor.com/job-listing/senior-software-engineer-python-paypal-JV_IC1139761_KO0,31_KE32,38.htm?jl=1010095843935",1010095843935,PayPal,3.6,"Austin, TX",$131K - $213K (Employer provided),30d+,2026-09-10T20:32:30Z,2026-08-11,lower_bound
Staff Software Engineer - BE Python,"https://www.glassdoor.com/job-listing/staff-software-engineer-be-python-paypal-JV_IC1139761_KO0,33_KE34,40.htm?jl=1010095844089",1010095844089,PayPal,3.6,"Austin, TX",$161K - $262K (Employer provided),30d+,2026-09-10T20:32:30Z,2026-08-11,lower_bound
"Sr Specialist, Cloud Engineer","https://www.glassdoor.com/job-listing/sr-specialist-cloud-engineer-charles-schwab-JV_IC1139761_KO0,28_KE29,43.htm?jl=1010258938845",1010258938845,Charles Schwab,3.7,"Austin, TX",$164K - $168K (Employer provided),24h,2026-09-10T20:32:30Z,2026-09-09,estimated
AI Product Engineer / Full-Stack Developer,"https://www.glassdoor.com/job-listing/ai-product-engineer-full-stack-developer-lion-business-brokers-ltd-JV_IC1161484_KO0,40_KE41,66.htm?jl=1010258927048",1010258927048,"Lion Business Brokers, Ltd.",None,"Bee Cave, TX",$60K - $100K (Employer provided),24h,2026-09-10T20:32:30Z,2026-09-09,estimated
Lead Full Stack Engineer with React JS & Python,"https://www.glassdoor.com/job-listing/lead-full-stack-engineer-with-react-js-python-cloudscouts-technology-services-JV_IC1139761_KO0,45_KE46,77.htm?jl=1010258848637",1010258848637,Cloudscouts Technology Services,4.2,"Austin, TX",$118K - $180K (Glassdoor est.),24h,2026-09-10T20:32:30Z,2026-09-09,estimated
Full Stack Engineer,"https://www.glassdoor.com/job-listing/full-stack-engineer-add-value-machine-JV_IC1139761_KO0,19_KE20,37.htm?jl=1010258741276",1010258741276,Add Value Machine,None,"Austin, TX",None,24h,2026-09-10T20:32:30Z,2026-09-09,estimated
Integrations Developer Sr,"https://www.glassdoor.com/job-listing/integrations-developer-sr-lower-colorado-river-authority-JV_IC1139761_KO0,25_KE26,56.htm?jl=1010258625612",1010258625612,Lower Colorado River Authority,4.4,"Austin, TX",$91K - $125K (Glassdoor est.),24h,2026-09-10T20:32:30Z,2026-09-09,estimated
Senior Firmware Engineer,"https://www.glassdoor.com/job-listing/senior-firmware-engineer-workshop-hiring-JV_IC1139761_KO0,24_KE25,40.htm?jl=1010258411675",1010258411675,Workshop Hiring,None,"Austin, TX",$150K - $185K (Employer provided),24h,2026-09-10T20:32:30Z,2026-09-09,estimated
"Senior Software Engineer, Product","https://www.glassdoor.com/job-listing/senior-software-engineer-product-base-power-company-JV_IC1139761_KO0,32_KE33,51.htm?jl=1010258410266",1010258410266,Base (TX),4.9,"Austin, TX",$103K - $145K (Glassdoor est.),24h,2026-09-10T20:32:30Z,2026-09-09,estimated
GIS Automation Engineer,"https://www.glassdoor.com/job-listing/gis-automation-engineer-electric-power-engineers-JV_IC1139761_KO0,23_KE24,48.htm?jl=1010258208719",1010258208719,Electric Power Engineers,3.9,"Austin, TX",$81K - $112K (Glassdoor est.),24h,2026-09-10T20:32:30Z,2026-09-09,estimated
Sr Java Full Stack Developer,"https://www.glassdoor.com/job-listing/sr-java-full-stack-developer-cayuse-holdings-JV_IC1139761_KO0,28_KE29,44.htm?jl=1010258043739",1010258043739,Cayuse Holdings,3.5,"Austin, TX",$60.00 - $70.00 Per Hour (Employer provided),24h,2026-09-10T20:32:30Z,2026-09-09,estimated
