cik,company_name,ticker,tickers,exchanges,sic,sic_description,state_of_incorporation,fiscal_year_end,form,is_amendment,filing_date,report_date,acceptance_datetime,accession_number,act,file_number,film_number,items,size_bytes,is_xbrl,is_inline_xbrl,primary_document,primary_document_description,filing_url,primary_document_url,company_submissions_url
0000789019,MICROSOFT CORP,MSFT,['MSFT'],['Nasdaq'],7372,Services-Prepackaged Software,WA,0630,10-K,False,2026-07-29,2026-06-30,2026-07-29T20:08:01.000Z,0001193125-26-323660,34,001-37845,261217433,None,36328553,True,True,msft-20260630.htm,10-K,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/0001193125-26-323660-index.html,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,https://data.sec.gov/submissions/CIK0000789019.json
0000320193,Apple Inc.,AAPL,['AAPL'],['Nasdaq'],3571,Electronic Computers,CA,0926,10-K,False,2025-10-31,2025-09-27,2025-10-31T10:01:26.000Z,0000320193-25-000079,34,001-36743,251437791,None,9392337,True,True,aapl-20250927.htm,10-K,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/0000320193-25-000079-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,https://data.sec.gov/submissions/CIK0000320193.json
0000789019,MICROSOFT CORP,MSFT,['MSFT'],['Nasdaq'],7372,Services-Prepackaged Software,WA,0630,10-K,False,2025-07-30,2025-06-30,2025-07-30T20:11:40.000Z,0000950170-25-100235,34,001-37845,251167157,None,34889671,True,True,msft-20250630.htm,10-K,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/0000950170-25-100235-index.html,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,https://data.sec.gov/submissions/CIK0000789019.json
0000320193,Apple Inc.,AAPL,['AAPL'],['Nasdaq'],3571,Electronic Computers,CA,0926,10-K,False,2024-11-01,2024-09-28,2024-11-01T10:01:36.000Z,0000320193-24-000123,34,001-36743,241416806,None,9759333,True,True,aapl-20240928.htm,10-K,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/0000320193-24-000123-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,https://data.sec.gov/submissions/CIK0000320193.json
0000789019,MICROSOFT CORP,MSFT,['MSFT'],['Nasdaq'],7372,Services-Prepackaged Software,WA,0630,10-K,False,2024-07-30,2024-06-30,2024-07-30T20:06:22.000Z,0000950170-24-087843,34,001-37845,241157360,None,30375960,True,True,msft-20240630.htm,10-K,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/0000950170-24-087843-index.html,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,https://data.sec.gov/submissions/CIK0000789019.json
